#
# loop-participants.csv
# This is the original, non-symmetrized, non-cleaned-up graph.
#
# Rank-ordered counts
#
1 MYC 139166.0
2 NTRK1 129076.0
3 TRIM25 128602.0
4 KIAA1429 125425.0
5 RECQL4 114632.0
6 EFTUD2 97400.0
7 ESR2 78914.0
8 PHB 76753.0
9 TP53 70505.0
10 UBC 70116.0
11 LARP7 67896.0
12 APP 65926.0
13 XPO1 62779.0
14 CUL3 58569.0
15 MCM2 58127.0
16 HNRNPA1 55494.0
17 PRPF8 53402.0
18 HSPA8 52281.0
19 NPM1 51905.0
20 VCP 47111.0
21 HNRNPU 47055.0
22 TNIP2 46856.0
23 RNF4 46440.0
24 BRCA1 45761.0
25 ELAVL1 45474.0
26 UBE2M 44835.0
27 CAND1 44575.0
28 HSP90AA1 43081.0
29 HEXIM1 42973.0
30 CHD4 42966.0
31 HNRNPL 42719.0
32 EGFR 41048.0
33 MEPCE 40652.0
34 RNF2 40318.0
35 SIRT7 39339.0
36 CUL1 37736.0
37 OBSL1 36796.0
38 SNW1 36488.0
39 CTNNB1 35906.0
40 EGLN3 35373.0
41 ESR1 34765.0
42 HSPA5 34445.0
43 PIH1D1 34294.0
44 CHD3 34070.0
45 RPS6 33679.0
46 COPS5 33024.0
47 RC3H2 32917.0
48 FUS 32825.0
49 VCAM1 32686.0
50 CDC5L 32468.0
51 TARDBP 32424.0
52 RPA1 32231.0
53 NXF1 31898.0
54 HUWE1 31836.0
55 NCL 31801.0
56 LMNA 31617.0
57 FN1 31402.0
58 SNAI1 31338.0
59 CDK2 30686.0
60 RC3H1 30488.0
61 SUZ12 29316.0
62 KRAS 29218.0
63 EEF1A1 29024.0
64 ACTB 28503.0
65 RPL10 28281.0
66 PCBP1 28163.0
67 RIOK1 27693.0
68 STAU1 27046.0
69 CUL7 26851.0
70 TMPO 26743.0
71 HSP90AB1 26533.0
72 CDK9 26015.0
73 U2AF2 25871.0
74 HNRNPK 25701.0
75 HSPD1 25563.0
76 RPA2 25342.0
77 HNRNPM 25235.0
78 HDAC1 24992.0
79 FBL 24444.0
80 ITGA4 23978.0
81 MDM2 23792.0
82 HIST1H3A 23630.0
83 EZH2 23555.0
84 RPL35 23553.0
85 MOV10 23353.0
86 RPS8 23135.0
87 G3BP1 22981.0
88 CYLD 22712.0
89 MATR3 22565.0
90 YWHAQ 22492.0
91 MYH9 22469.0
92 RPA3 22467.0
93 AAR2 22285.0
94 RPS3 22139.0
95 EWSR1 22116.0
96 RPS2 22002.0
97 HNRNPH1 21907.0
98 DHX9 21518.0
99 CCT3 21162.0
100 RPL6 21127.0
101 AGR2 21112.0
102 EP300 20996.0
103 HIST1H4A 20797.0
104 HNRNPA2B1 20724.0
105 ILF3 20427.0
106 HNRNPR 20288.0
107 EED 20189.0
108 ILF2 19998.0
109 CSNK2A1 19864.0
110 CLTC 19790.0
111 HNRNPF 19532.0
112 RPS4X 19528.0
113 CFTR 19265.0
114 RPL18 19229.0
115 HNRNPA3 19124.0
116 CANX 19064.0
117 CCT2 19049.0
118 DDX5 18882.0
119 LIMA1 18757.0
120 UBE2I 18710.0
121 YBX1 18675.0
122 IQGAP1 18598.0
123 SRP72 18574.0
124 RPS3A 18356.0
125 YWHAE 18342.0
126 CUL4B 18244.0
127 PARK2 18157.0
128 PSMA3 18127.0
129 PABPC1 18053.0
130 RPL7 17988.0
131 UBL4A 17833.0
132 RPS14 17735.0
133 RRBP1 17584.0
134 HDAC2 17518.0
135 SYNCRIP 17513.0
136 RPL5 17424.0
137 RPL8 17331.0
138 HNRNPD 17306.0
139 YAP1 17291.0
140 FLNA 17213.0
141 EIF4A3 17150.0
142 RPL13 17139.0
143 RBX1 17097.0
144 ZNF746 17081.0
145 HSPA4 17061.0
146 RPL4 16980.0
147 RPLP0 16952.0
148 RPL14 16885.0
149 HSPB1 16885.0
150 RPL3 16882.0
151 CCT4 16390.0
152 ZNF598 16305.0
153 GRB2 16153.0
154 RPL18A 16108.0
155 TAT 16088.0
156 CCT8 16021.0
157 METTL14 16011.0
158 CCDC8 16011.0
159 RPL10A 15988.0
160 YWHAZ 15821.0
161 TP53BP1 15683.0
162 DDB1 15598.0
163 RPL7A 15581.0
164 NOP56 15563.0
165 RPS9 15542.0
166 RPS13 15500.0
167 ACTC1 15499.0
168 SMURF1 15485.0
169 CCT6A 15476.0
170 RPS16 15311.0
171 CUL2 15240.0
172 ATP5A1 15209.0
173 HSD17B10 15191.0
174 RPS11 15063.0
175 RPS18 15009.0
176 TUBG1 15004.0
177 RPL23A 14946.0
178 CUL5 14821.0
179 RUVBL2 14765.0
180 WWOX 14752.0
181 RPL11 14667.0
182 RPL23 14632.0
183 HNRNPA0 14567.0
184 HIF1A 14550.0
185 SRRM2 14546.0
186 VHL 14456.0
187 PTEN 14449.0
188 CCT5 14367.0
189 RPS15A 14357.0
190 ATG16L1 14212.0
191 RPL15 14202.0
192 AKT1 14175.0
193 RPS10 14058.0
194 C1QBP 14035.0
195 STUB1 14032.0
196 PPP2R1A 14020.0
197 DDX3X 13996.0
198 RPL13A 13993.0
199 RPL30 13983.0
200 RPS20 13963.0
201 RPS25 13941.0
202 RPL12 13911.0
203 PRKDC 13849.0
204 CDK1 13845.0
205 RPL27 13770.0
206 EEF2 13768.0
207 RPS5 13738.0
208 RPSA 13698.0
209 CCT7 13690.0
210 HDAC6 13629.0
211 PAN2 13629.0
212 FBXO6 13591.0
213 DHX15 13514.0
214 GRWD1 13417.0
215 DDX21 13389.0
216 ENO1 13363.0
217 GAPDH 13362.0
218 PTBP1 13239.0
219 KPNB1 13234.0
220 HDAC5 13229.0
221 DNAJA1 13202.0
222 DDX1 13196.0
223 WDR77 13102.0
224 MCM5 13077.0
225 CREBBP 12958.0
226 HDAC4 12956.0
227 GNB2L1 12938.0
228 PPP1CB 12899.0
229 RPS7 12897.0
230 SRPK2 12885.0
231 EIF3A 12883.0
232 SFPQ 12828.0
233 DDX17 12824.0
234 RUVBL1 12802.0
235 RPL37A 12776.0
236 HSPA9 12729.0
237 H2AFX 12627.0
238 EIF3E 12533.0
239 TUBA1A 12529.0
240 YWHAG 12486.0
241 RPL24 12402.0
242 MYO1C 12380.0
243 RPS19 12380.0
244 TUBB 12375.0
245 RPL31 12364.0
246 PARP1 12358.0
247 RPL27A 12315.0
248 RPL9 12292.0
249 KSR1 12221.0
250 SRSF1 12174.0
251 HSPA1A 12099.0
252 CDH1 12020.0
253 RPL19 11932.0
254 SOD1 11888.0
255 DBN1 11822.0
256 RPLP2 11806.0
257 HNRNPC 11750.0
258 CUL4A 11742.0
259 SF3B1 11705.0
260 YWHAB 11663.0
261 POLR2A 11658.0
262 RPS23 11608.0
263 MYH10 11460.0
264 PPP1CA 11426.0
265 PSMC5 11401.0
266 RPS24 11372.0
267 SOX2 11336.0
268 RPS27 11284.0
269 NEDD8 11267.0
270 SNCA 11259.0
271 HIST1H2AB 11227.0
272 SMAD3 11221.0
273 USP7 11176.0
274 PDHA1 11121.0
